"No.","Time","Source","Destination","Protocol","Length","Info"
"83","0.000089","100.64.170.173","52.3.144.142","TCP","66","60890  >  443 [ACK] Seq=1 Ack=1 Win=131712 Len=0 TSval=378430685 TSecr=2502829592"
"84","0.080257","100.64.170.173","52.3.144.142","TLSv1.3","792","Client Hello"
"87","0.000063","100.64.170.173","52.3.144.142","TCP","66","60890  >  443 [ACK] Seq=727 Ack=213 Win=131520 Len=0 TSval=378430777 TSecr=2502829683"
"88","0.003056","100.64.170.173","52.3.144.142","TLSv1.3","130","Change Cipher Spec, Application Data"
"89","0.001127","100.64.170.173","52.3.144.142","TLSv1.3","158","Application Data"
"90","0.001006","100.64.170.173","52.3.144.142","TLSv1.3","425","Application Data"
"92","0.000084","100.64.170.173","52.3.144.142","TCP","66","60890  >  443 [ACK] Seq=1242 Ack=699 Win=131008 Len=0 TSval=378430793 TSecr=2502829698"
"94","0.000056","100.64.170.173","52.3.144.142","TCP","66","60890  >  443 [ACK] Seq=1242 Ack=730 Win=131008 Len=0 TSval=378430793 TSecr=2502829700"
"96","0.000066","100.64.170.173","52.3.144.142","TCP","66","60890  >  443 [ACK] Seq=1242 Ack=1967 Win=129792 Len=0 TSval=378430804 TSecr=2502829711"
"97","0.018776","100.64.170.173","52.3.144.142","TLSv1.3","97","Application Data"
"98","0.001457","100.64.170.173","52.3.144.142","TCP","78","60891  >  443 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=3753887694 TSecr=0 SACK_PERM"
"100","0.000081","100.64.170.173","52.3.144.142","TCP","66","60891  >  443 [ACK] Seq=1 Ack=1 Win=131712 Len=0 TSval=3753887707 TSecr=2438406420"
"101","0.005428","100.64.170.173","52.3.144.142","TLSv1.3","888","Client Hello"
"104","0.000052","100.64.170.173","52.3.144.142","TCP","66","60891  >  443 [ACK] Seq=823 Ack=213 Win=131520 Len=0 TSval=3753887725 TSecr=2438406437"
"105","0.002463","100.64.170.173","52.3.144.142","TLSv1.3","130","Change Cipher Spec, Application Data"
"106","0.002192","100.64.170.173","52.3.144.142","TLSv1.3","158","Application Data"
"107","0.000237","100.64.170.173","52.3.144.142","TLSv1.3","491","Application Data"
"108","0.000051","100.64.170.173","52.3.144.142","TLSv1.3","197","Application Data"
"110","0.000094","100.64.170.173","52.3.144.142","TCP","66","60891  >  443 [ACK] Seq=1535 Ack=699 Win=131008 Len=0 TSval=3753887741 TSecr=2438406452"
"112","0.000076","100.64.170.173","52.3.144.142","TCP","66","60891  >  443 [ACK] Seq=1535 Ack=730 Win=131008 Len=0 TSval=3753887741 TSecr=2438406454"
"114","0.001197","100.64.170.173","52.3.144.142","TLSv1.3","97","Application Data"
"117","0.000086","100.64.170.173","52.3.144.142","TCP","66","60891  >  443 [ACK] Seq=1566 Ack=1922 Win=129856 Len=0 TSval=3753887747 TSecr=2438406460"
"119","12.748830","100.64.170.173","54.237.226.164","TLSv1.3","469","Application Data"
"120","0.000122","100.64.170.173","54.237.226.164","TLSv1.3","105","Application Data"
"123","0.000041","100.64.170.173","54.237.226.164","TCP","66","60881  >  443 [ACK] Seq=2972 Ack=48934 Win=131008 Len=0 TSval=591090524 TSecr=900210268"
"125","0.000127","100.64.170.173","54.237.226.164","TCP","66","60881  >  443 [ACK] Seq=2972 Ack=49317 Win=130688 Len=0 TSval=591090647 TSecr=900210390"
"126","0.007861","100.64.170.173","54.237.226.164","TLSv1.3","135","Application Data"
"130","0.000064","100.64.170.173","54.237.226.164","TCP","66","60881  >  443 [ACK] Seq=3041 Ack=49487 Win=130880 Len=0 TSval=591090827 TSecr=900210570"
"131","0.000279","100.64.170.173","54.237.226.164","TCP","66","60881  >  443 [ACK] Seq=3041 Ack=50935 Win=129408 Len=0 TSval=591090827 TSecr=900210570"
"134","0.000148","100.64.170.173","54.237.226.164","TCP","66","60881  >  443 [ACK] Seq=3041 Ack=53752 Win=128192 Len=0 TSval=591090829 TSecr=900210570"
"137","0.000098","100.64.170.173","54.237.226.164","TCP","66","60881  >  443 [ACK] Seq=3041 Ack=56327 Win=128448 Len=0 TSval=591090831 TSecr=900210571"
"140","0.000063","100.64.170.173","54.237.226.164","TCP","66","60881  >  443 [ACK] Seq=3041 Ack=58649 Win=128704 Len=0 TSval=591090831 TSecr=900210572"
"145","0.000041","100.64.170.173","54.237.226.164","TCP","66","60881  >  443 [ACK] Seq=3041 Ack=63000 Win=124352 Len=0 TSval=591090831 TSecr=900210572"
"148","0.000056","100.64.170.173","54.237.226.164","TCP","66","60881  >  443 [ACK] Seq=3041 Ack=65492 Win=121856 Len=0 TSval=591090831 TSecr=900210573"
"149","0.000217","100.64.170.173","54.237.226.164","TCP","66","[TCP Window Update] 60881  >  443 [ACK] Seq=3041 Ack=65492 Win=131072 Len=0 TSval=591090831 TSecr=900210573"
"152","0.000064","100.64.170.173","54.237.226.164","TLSv1.3","101","Application Data"
"155","0.000093","100.64.170.173","54.237.226.164","TCP","66","60881  >  443 [ACK] Seq=3076 Ack=67749 Win=128768 Len=0 TSval=591090834 TSecr=900210573"
"156","0.000040","100.64.170.173","54.237.226.164","TCP","66","60881  >  443 [ACK] Seq=3076 Ack=70143 Win=126400 Len=0 TSval=591090834 TSecr=900210574"
"161","0.000004","100.64.170.173","54.237.226.164","TCP","66","60881  >  443 [ACK] Seq=3076 Ack=73039 Win=123520 Len=0 TSval=591090834 TSecr=900210574"
"162","0.000083","100.64.170.173","54.237.226.164","TCP","66","[TCP Window Update] 60881  >  443 [ACK] Seq=3076 Ack=73039 Win=131072 Len=0 TSval=591090834 TSecr=900210574"
"163","0.000056","100.64.170.173","54.237.226.164","TCP","66","60881  >  443 [ACK] Seq=3076 Ack=75732 Win=128320 Len=0 TSval=591090834 TSecr=900210575"
"166","0.000048","100.64.170.173","54.237.226.164","TCP","66","60881  >  443 [ACK] Seq=3076 Ack=78116 Win=125952 Len=0 TSval=591090834 TSecr=900210576"
"167","0.000055","100.64.170.173","54.237.226.164","TCP","66","[TCP Window Update] 60881  >  443 [ACK] Seq=3076 Ack=78116 Win=131072 Len=0 TSval=591090834 TSecr=900210576"
"170","0.000061","100.64.170.173","54.237.226.164","TCP","66","60881  >  443 [ACK] Seq=3076 Ack=78518 Win=130624 Len=0 TSval=591090836 TSecr=900210576"
"173","0.000075","100.64.170.173","54.237.226.164","TCP","66","60881  >  443 [ACK] Seq=3076 Ack=80643 Win=128896 Len=0 TSval=591090837 TSecr=900210578"
"176","0.000065","100.64.170.173","54.237.226.164","TCP","66","60881  >  443 [ACK] Seq=3076 Ack=82046 Win=129664 Len=0 TSval=591090837 TSecr=900210579"
"178","0.000067","100.64.170.173","54.237.226.164","TCP","66","60881  >  443 [ACK] Seq=3076 Ack=82386 Win=130688 Len=0 TSval=591090838 TSecr=900210580"
"181","0.000060","100.64.170.173","54.237.226.164","TCP","66","60881  >  443 [ACK] Seq=3076 Ack=85282 Win=128128 Len=0 TSval=591090838 TSecr=900210581"
"182","0.000094","100.64.170.173","54.237.226.164","TCP","66","[TCP Window Update] 60881  >  443 [ACK] Seq=3076 Ack=85282 Win=131072 Len=0 TSval=591090838 TSecr=900210581"
"187","0.000059","100.64.170.173","54.237.226.164","TCP","66","60881  >  443 [ACK] Seq=3076 Ack=90106 Win=126208 Len=0 TSval=591090840 TSecr=900210582"
